;software_name;software_id;technique_data;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22
0;ADVSTORESHELL;S0045;[{'technique_id': 'T1071', 'subtechnique_id': 'T1071.001'}, {'technique_id': 'T1560', 'subtechnique_id': ''}, {'technique_id': '', 'subtechnique_id': '.003'}, {'technique_id': 'T1547', 'subtechnique_id': 'T1547.001'}, {'technique_id': 'T1059', 'subtechnique_id': 'T1059.003'}, {'technique_id': 'T1132', 'subtechnique_id': 'T1132.001'}, {'technique_id': 'T1074', 'subtechnique_id': 'T1074.001'}, {'technique_id': 'T1573', 'subtechnique_id': 'T1573.001'}, {'technique_id': '', 'subtechnique_id': '.002'}, {'technique_id': 'T1546', 'subtechnique_id': 'T1546.015'}, {'technique_id': 'T1041', 'subtechnique_id': ''}, {'technique_id': 'T1083', 'subtechnique_id': ''}, {'technique_id': 'T1070', 'subtechnique_id': 'T1070.004'}, {'technique_id': 'T1056', 'subtechnique_id': 'T1056.001'}, {'technique_id': 'T1112', 'subtechnique_id': ''}, {'technique_id': 'T1106', 'subtechnique_id': ''}, {'technique_id': 'T1027', 'subtechnique_id': ''}, {'technique_id': 'T1120', 'subtechnique_id': ''}, {'technique_id': 'T1057', 'subtechnique_id': ''}, {'technique_id': 'T1012', 'subtechnique_id': ''}, {'technique_id': 'T1029', 'subtechnique_id': ''}, {'technique_id': 'T1218', 'subtechnique_id': 'T1218.011'}, {'technique_id': 'T1082', 'subtechnique_id': ''}];T1071;T1560;;T1547;T1059;T1132;T1074;T1573;;T1546;T1041;T1083;T1070;T1056;T1112;T1106;T1027;T1120;T1057;T1012;T1029;T1218;T1082
1;Agent Smith;S0440;[{'technique_id': 'T1418', 'subtechnique_id': ''}, {'technique_id': 'T1577', 'subtechnique_id': ''}, {'technique_id': 'T1447', 'subtechnique_id': ''}, {'technique_id': 'T1476', 'subtechnique_id': ''}, {'technique_id': 'T1404', 'subtechnique_id': ''}, {'technique_id': 'T1472', 'subtechnique_id': ''}, {'technique_id': 'T1444', 'subtechnique_id': ''}, {'technique_id': 'T1406', 'subtechnique_id': ''}, {'technique_id': 'T1424', 'subtechnique_id': ''}, {'technique_id': 'T1508', 'subtechnique_id': ''}];T1418;T1577;T1447;T1476;T1404;T1472;T1444;T1406;T1424;T1508;;;;;;;;;;;;;
